price,bed,bath,city,state,zip_code,house_size,city_enc,zip_enc,state_New York,state_New Jersey,latitude,longitude
1089000.0,5.0,4.0,Staten Island,New York,10304,2300.0,773585.7734724293,866072.3888888889,1,0,40.6102,-74.0878
2275000.0,2.0,3.0,New York,New York,10004,1526.0,2761969.686860528,1742926.4705882352,1,0,40.7143,-74.006
899000.0,1.0,2.0,New York,New York,11232,1350.0,2761969.686860528,1072418.6046511629,1,0,40.6521,-74.0018
1795000.0,3.0,3.0,New York,New York,11217,1980.0,2761969.686860528,2085903.547619048,1,0,40.6816,-73.9798
1749000.0,3.0,2.0,Brooklyn,New York,11215,1289.0,1131744.071563981,2104641.937062937,1,0,40.6669,-73.9828
479900.0,2.0,3.0,Staten Island,New York,10309,1020.0,773585.7734724293,943550.9619047618,1,0,40.5352,-74.2116
639900.0,3.0,2.0,Staten Island,New York,10309,731.0,773585.7734724293,943550.9619047618,1,0,40.5352,-74.2116
599000.0,3.0,2.0,Staten Island,New York,10308,1040.0,773585.7734724293,741919.5638297872,1,0,40.5518,-74.1526
2898000.0,3.0,3.0,Brooklyn,New York,11231,2295.0,1131744.071563981,2568189.5408163266,1,0,40.6794,-74.0014
625000.0,3.0,2.0,Staten Island,New York,10312,1624.0,773585.7734724293,859060.7071428571,1,0,40.5457,-74.1792
1400000.0,4.0,4.0,Staten Island,New York,10306,2552.0,773585.7734724293,801597.8633540373,1,0,40.5682,-74.1184
3400000.0,4.0,3.0,New York,New York,11201,1926.0,2988245.372111554,2552267.1621004567,1,0,40.694,-73.9903
695000.0,1.0,1.0,New York,New York,11201,773.0,2761969.686860528,2552267.1621004567,1,0,40.694,-73.9903
2015000.0,1.0,1.0,New York,New York,10005,872.0,2761969.686860528,2518846.9411764704,1,0,40.7056,-74.0083
4300000.0,4.0,4.0,New York,New York,11201,2487.0,2761969.686860528,2552267.1621004567,1,0,40.694,-73.9903
749000.0,2.0,1.0,Brooklyn,New York,11226,1222.0,1131744.071563981,1012649.1803278688,1,0,40.6467,-73.957
1150000.0,1.0,1.0,New York,New York,11201,958.0,2761969.686860528,2552267.1621004567,1,0,40.694,-73.9903
1550000.0,4.0,6.0,Staten Island,New York,10312,4700.0,773585.7734724293,859060.7071428571,1,0,40.5457,-74.1792
1399000.0,3.0,3.0,Brooklyn,New York,11218,1546.0,1131744.071563981,1226674.5254237289,1,0,40.6424,-73.9758
1400000.0,4.0,4.0,Staten Island,New York,10306,2610.0,773585.7734724293,801597.8633540373,1,0,40.5682,-74.1184
1268000.0,3.0,3.0,Brooklyn,New York,11204,1700.0,1131744.071563981,1204189.048780488,1,0,40.6179,-73.9856
879900.0,5.0,4.0,Staten Island,New York,10314,2344.0,773585.7734724293,716875.8803827751,1,0,40.6039,-74.1472
925000.0,2.0,2.0,Brooklyn,New York,11226,951.0,1131744.071563981,1012649.1803278688,1,0,40.6467,-73.957
1750000.0,2.0,2.0,New York,New York,11217,1235.0,2761969.686860528,2085903.547619048,1,0,40.6816,-73.9798
729000.0,6.0,3.0,Staten Island,New York,10304,2256.0,773585.7734724293,866072.3888888889,1,0,40.6102,-74.0878
655000.0,2.0,1.0,Staten Island,New York,10305,1312.0,773585.7734724293,751113.940397351,1,0,40.5973,-74.0768
599000.0,3.0,2.0,Staten Island,New York,10314,1152.0,773585.7734724293,716875.8803827751,1,0,40.6039,-74.1472
1599000.0,4.0,3.0,Brooklyn,New York,11214,2400.0,1131744.071563981,1043638.6341463416,1,0,40.6016,-73.9968
340000.0,1.0,1.0,Brooklyn,New York,11209,700.0,1131744.071563981,875259.6513761468,1,0,40.6251,-74.0303
398000.0,1.0,1.0,Brooklyn,New York,11218,700.0,1131744.071563981,1226674.5254237289,1,0,40.6424,-73.9758
1245000.0,2.0,2.0,New York,New York,11226,1350.0,2761969.686860528,1012649.1803278688,1,0,40.6467,-73.957
3195000.0,4.0,3.0,Brooklyn,New York,11215,2245.0,1131744.071563981,2104641.937062937,1,0,40.6669,-73.9828
2195000.0,3.0,2.0,Brooklyn,New York,11231,1250.0,1131744.071563981,2568189.5408163266,1,0,40.6794,-74.0014
1500000.0,6.0,4.0,Staten Island,New York,10309,3564.0,773585.7734724293,943550.9619047618,1,0,40.5352,-74.2116
1599000.0,5.0,3.0,Brooklyn,New York,11214,2320.0,1131744.071563981,1043638.6341463416,1,0,40.6016,-73.9968
359000.0,1.0,1.0,New York,New York,11209,825.0,2761969.686860528,875259.6513761468,1,0,40.6251,-74.0303
749000.0,1.0,1.0,Brooklyn,New York,11231,731.0,1131744.071563981,2568189.5408163266,1,0,40.6794,-74.0014
1895000.0,3.0,2.0,New York,New York,10005,1494.0,2988245.372111554,2518846.9411764704,1,0,40.7056,-74.0083
845000.0,2.0,1.0,Brooklyn,New York,11215,692.0,1131744.071563981,2104641.937062937,1,0,40.6669,-73.9828
1100000.0,2.0,2.0,Brooklyn,New York,11218,845.0,1131744.071563981,1226674.5254237289,1,0,40.6424,-73.9758
2490000.0,5.0,4.0,New York,New York,11226,2598.0,2761969.686860528,1012649.1803278688,1,0,40.6467,-73.957
2400000.0,7.0,4.0,New York,New York,11238,2700.0,2761969.686860528,1648872.9047619049,1,0,40.679,-73.9644
845000.0,2.0,1.0,New York,New York,11211,692.0,2761969.686860528,1868594.2028985508,1,0,40.7095,-73.9563
1900000.0,3.0,3.0,Brooklyn,New York,11228,1875.0,1131744.071563981,1430739.7088607594,1,0,40.6174,-74.0121
995000.0,2.0,2.0,New York,New York,11218,1035.0,2761969.686860528,1226674.5254237289,1,0,40.6424,-73.9758
759900.0,2.0,2.0,Staten Island,New York,10308,1030.0,773585.7734724293,741919.5638297872,1,0,40.5518,-74.1526
589000.0,3.0,2.0,Staten Island,New York,10312,1378.0,773585.7734724293,859060.7071428571,1,0,40.5457,-74.1792
399000.0,2.0,2.0,Staten Island,New York,10314,945.0,773585.7734724293,716875.8803827751,1,0,40.6039,-74.1472
768000.0,2.0,3.0,Brooklyn,New York,11214,1699.0,1131744.071563981,1043638.6341463416,1,0,40.6016,-73.9968
295000.0,1.0,1.0,Brooklyn,New York,11230,610.0,1131744.071563981,941484.8181818182,1,0,40.6225,-73.965
2829575.0,2.0,2.0,Brooklyn,New York,11231,1165.0,1131744.071563981,2568189.5408163266,1,0,40.6794,-74.0014
1300000.0,4.0,2.0,Brooklyn,New York,11214,2412.0,1131744.071563981,1043638.6341463416,1,0,40.6016,-73.9968
7500000.0,4.0,4.0,Brooklyn,New York,11201,3073.0,1131744.071563981,2552267.1621004567,1,0,40.694,-73.9903
1850000.0,2.0,2.0,Brooklyn,New York,11201,1551.0,1131744.071563981,2552267.1621004567,1,0,40.694,-73.9903
999000.0,3.0,2.0,Brooklyn,New York,11214,1515.0,1131744.071563981,1043638.6341463416,1,0,40.6016,-73.9968
1150000.0,4.0,6.0,Staten Island,New York,10308,2200.0,773585.7734724293,741919.5638297872,1,0,40.5518,-74.1526
1049000.0,4.0,4.0,Staten Island,New York,10309,2352.0,773585.7734724293,943550.9619047618,1,0,40.5352,-74.2116
3600000.0,4.0,4.0,New York,New York,11217,4116.0,2761969.686860528,2085903.547619048,1,0,40.6816,-73.9798
2105000.0,3.0,2.0,New York,New York,11201,1468.0,2761969.686860528,2552267.1621004567,1,0,40.694,-73.9903
1239000.0,3.0,2.0,New York,New York,11209,1120.0,2761969.686860528,875259.6513761468,1,0,40.6251,-74.0303
679888.0,6.0,3.0,Staten Island,New York,10304,2818.0,773585.7734724293,866072.3888888889,1,0,40.6102,-74.0878
1189000.0,4.0,2.0,New York,New York,11230,1400.0,2761969.686860528,941484.8181818182,1,0,40.6225,-73.965
579000.0,3.0,3.0,Staten Island,New York,10306,1208.0,773585.7734724293,801597.8633540373,1,0,40.5682,-74.1184
859000.0,1.0,1.0,New York,New York,10006,715.0,2988245.372111554,2474437.704918033,1,0,40.7085,-74.0135
592000.0,2.0,2.0,New York,New York,11220,811.0,2761969.686860528,1062242.1698113207,1,0,40.6412,-74.0133
579000.0,2.0,2.0,New York,New York,11220,827.0,2761969.686860528,1062242.1698113207,1,0,40.6412,-74.0133
